Smiles,pIC50
Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,6.5
CC(C)C(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.52
CC(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,7.05
CC(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,7.23
CCCCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.72
CCCCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.72
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,7.44
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,7.44
N#Cc1cnc(N)nc1-c1ccccc1,6.8
Cc1ccccc1C(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.66
CCN(CC)CCCCCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.62
CCN(CC)CCCCCCCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.89
O=C(CC1CCCC1)Nc1ccc(C(=O)Nc2nccs2)cc1,7.17
Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,6.77
CCN(CC)CCC(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.96
Nc1ncc(-c2ccncc2)c(-c2ccccc2)n1,6.97
Cc1cnc(NC(=O)c2ccc(NC(=O)CC(C)(C)C)cc2)s1,6.92
O=C(Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1)C1CC1,6.64
Nc1ncc(-c2ccc3ccccc3c2)c(-c2ccccc2)n1,6.89
Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,6.93
Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,6.94
O=C(Nc1nc2cccc(Cl)c2[nH]1)c1ccccc1,7.0
CN(C)c1nc(-n2cccn2)nc(N)c1Br,7.3
CN(C)c1nc(-n2cccn2)nc(N)c1Br,7.46
CC(CCN1CCOCC1)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.96
Nc1ncc(-c2cccc(Cl)c2)c(-c2ccccc2)n1,6.92
CCCOc1cc(NC(=O)CC)nc(SCCC)n1,7.15
Nc1nc(NCc2ccc(Cl)cc2)nc(-c2ccccc2CO)n1,6.52
CCC(=O)Nc1nc(-c2ccc(SC)cc2)cc(-c2ccc(SC)cc2)n1,6.74
